feature,grid_value,pred_mean
make,Acura,11741.662538699691
make,Audi,11741.662538699691
make,BMW,11741.662538699691
make,CHEVROLET,11741.662538699691
make,Chevrolet,11741.662538699691
make,Chevy,11741.662538699691
make,Chrysler,11741.662538699691
make,Ford,11741.662538699691
make,HYANDIA,11741.662538699691
make,Honda,11741.662538699691
make,Jeep,11741.662538699691
make,Mercedes-Benz,11741.662538699691
make,Nissan,11741.662538699691
make,Pontiac,11741.662538699691
make,Subaru,11741.662538699691
make,Toyota,11741.662538699691
make,chevrolet,11741.662538699691
make,chrysler,11741.662538699691
make,dodge,11741.662538699691
make,freightliner,11741.662538699691
make,lexus,11741.662538699691
make,subaru,11741.662538699691
make,tesla,11741.662538699691
make,volkswagen,11741.662538699691
