feature,grid_value,pred_mean
year_num,1950,10123.679004329006
year_num,1958,10123.679004329006
year_num,1987,10123.679004329006
year_num,1995,10123.679004329006
year_num,1997,10123.679004329006
year_num,1998,10123.679004329006
year_num,2000,10123.679004329006
year_num,2002,10123.679004329006
year_num,2006,10244.00553494125
year_num,2007,10244.00553494125
year_num,2008,10244.00553494125
year_num,2009,10244.00553494125
year_num,2011,10244.00553494125
year_num,2012,10883.621861471862
year_num,2013,10883.621861471862
year_num,2014,10883.621861471862
year_num,2015,10883.621861471862
year_num,2016,10883.621861471862
year_num,2017,20178.225990396153
year_num,2018,20178.225990396153
year_num,2020,20178.225990396153
year_num,2021,20178.225990396153
