feature,grid_value,pred_mean
make,ACURA,10804.613523666414
make,Acura,10804.613523666414
make,Audi,10804.613523666414
make,BMW,10804.613523666414
make,CHEVROLET,10804.613523666414
make,Cadillac,10804.613523666414
make,Chevrolet,10804.613523666414
make,Chevy,10804.613523666414
make,Chrysler,10804.613523666414
make,Dodge,10804.613523666414
make,Ford,10804.613523666414
make,GMC,10804.613523666414
make,HONDA,10804.613523666414
make,Honda,10804.613523666414
make,Hyundai,10804.613523666414
make,INFINITI,10804.613523666414
make,JEEP,10804.613523666414
make,Jaguar,10804.613523666414
make,Jeep,10804.613523666414
make,Kia,10804.613523666414
make,Land Rover,10804.613523666414
make,Lexus,10804.613523666414
make,MAZDA,10804.613523666414
make,Mazda,10804.613523666414
make,Mercedes-Benz,10804.613523666414
make,Mini,10804.613523666414
make,Nissan,10804.613523666414
make,Porsche,10804.613523666414
make,RAM,10804.613523666414
make,Ram,10804.613523666414
make,Subaru,10804.613523666414
make,Suzuki,10804.613523666414
make,TOYOTA,10804.613523666414
make,Tesla,10804.613523666414
make,Toyota,10804.613523666414
make,Volkswagen,10804.613523666414
make,Volvo,10804.613523666414
make,chevrolet,10804.613523666414
make,chevy,10804.613523666414
make,dodge,10804.613523666414
make,ford,10804.613523666414
make,honda,10804.613523666414
make,infinity,10804.613523666414
make,jeep,10804.613523666414
make,mitsubishi,10804.613523666414
make,nissan,10804.613523666414
make,subaru,10804.613523666414
make,tesla,10804.613523666414
make,toyota,10804.613523666414
make,volkswagen,10804.613523666414
