feature,grid_value,pred_mean
year_num,1993,14301.776275917066
year_num,1995,14301.776275917066
year_num,2002,14301.776275917066
year_num,2004,14301.776275917066
year_num,2005,15033.38712121212
year_num,2006,15033.38712121212
year_num,2008,15033.38712121212
year_num,2010,15033.38712121212
year_num,2012,15920.702777777773
year_num,2013,15920.702777777773
year_num,2014,19316.24313751551
year_num,2015,19316.24313751551
year_num,2017,19316.24313751551
year_num,2019,17597.10980418218
year_num,2022,17597.10980418218
year_num,2023,17597.10980418218
year_num,2024,17597.10980418218
year_num,2025,17597.10980418218
